messageid,topics
773,Управление командой|Процессы разработки|Архитектура|Тестирование|Метрики и KPI
774,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
775,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
776,Управление командой|Процессы разработки|Тестирование
777,Управление командой|Процессы разработки|Архитектура|Тестирование
778,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
779,Управление командой|Процессы разработки|Тестирование
780,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
781,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
783,Управление командой|Процессы разработки|Тестирование|Технический рост|Метрики и KPI
784,Управление командой|Процессы разработки|Тестирование|Технический рост|Метрики и KPI
786,Управление командой|Процессы разработки|Тестирование|Технический рост|Метрики и KPI
787,Управление командой|Процессы разработки|Тестирование|Технический рост|Метрики и KPI
788,Управление командой|Тестирование|Технический рост|Метрики и KPI
789,Управление командой|Тестирование|Технический рост|Метрики и KPI
790,Управление командой|Тестирование|Технический рост|Метрики и KPI
791,Управление командой|Тестирование|Технический рост|Метрики и KPI
792,Управление командой|Тестирование|Технический рост|Метрики и KPI
793,Управление командой|Тестирование|Технический рост|Метрики и KPI
794,Управление командой|Тестирование
795,Управление командой|Процессы разработки|Тестирование
796,Управление командой|Процессы разработки|Тестирование
797,Управление командой|Процессы разработки|Тестирование
798,Управление командой|Процессы разработки|Тестирование
800,Управление командой|Процессы разработки|Тестирование
801,Управление командой|Процессы разработки|Тестирование
802,Управление командой|Процессы разработки|Тестирование
803,Управление командой|Процессы разработки|Тестирование
804,Управление командой|Процессы разработки|Тестирование
805,Управление командой|Тестирование
806,Управление командой|Тестирование
807,Управление командой|Архитектура|Тестирование
809,Управление командой|Архитектура|Тестирование
808,Управление командой|Архитектура|Тестирование
810,Управление командой|Архитектура|Тестирование
811,Управление командой|Архитектура|Тестирование
812,Управление командой|Архитектура|Тестирование|Конфликты и проблемы
813,Управление командой|Архитектура|Тестирование
814,Управление командой|Архитектура|Тестирование
815,Архитектура|Тестирование
816,Архитектура|Тестирование
817,Архитектура|Тестирование
818,Архитектура|Тестирование
819,Архитектура|Тестирование
820,Архитектура|Тестирование
821,Архитектура|Тестирование
822,Архитектура|Тестирование
824,Архитектура|Тестирование
825,Архитектура|Тестирование
826,Управление командой|Процессы разработки|Архитектура|Тестирование
827,Архитектура|Тестирование
828,Архитектура|Тестирование
829,Архитектура|Тестирование
830,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML
831,Архитектура|Тестирование
832,Архитектура|Тестирование
833,Управление командой|Архитектура|Тестирование|AI/ML
834,Архитектура|Тестирование
835,Архитектура|Тестирование
836,Архитектура|Тестирование|AI/ML
837,Архитектура|Тестирование
838,Архитектура|Тестирование
839,Архитектура|Тестирование
840,Процессы разработки|Архитектура|Тестирование
841,Процессы разработки|Тестирование
842,Тестирование
843,Архитектура|Тестирование
844,Архитектура|Тестирование
845,Архитектура|Тестирование|AI/ML|Конфликты и проблемы
846,Архитектура|Тестирование
847,Архитектура|Тестирование|AI/ML|Конфликты и проблемы
848,Архитектура|Тестирование|AI/ML
849,Архитектура|Тестирование|AI/ML
851,Архитектура|Тестирование|AI/ML
850,Архитектура|Тестирование|AI/ML
852,Архитектура|Тестирование|AI/ML
855,Архитектура|Тестирование
853,Общие вопросы
854,Общие вопросы
856,Общие вопросы
857,Архитектура|Тестирование
858,Тестирование
859,Тестирование
860,Тестирование|Конфликты и проблемы
862,Тестирование|Конфликты и проблемы
863,Управление командой|Найм и HR|Тестирование
864,Общие вопросы
865,Тестирование
866,Тестирование
867,Тестирование
868,Управление командой|Найм и HR|Тестирование
869,Общие вопросы
870,Тестирование
871,Общие вопросы
872,Процессы разработки|Тестирование
873,Общие вопросы
874,Процессы разработки
875,Общие вопросы
878,Общие вопросы
880,Общие вопросы
881,Тестирование
882,Тестирование
884,Тестирование
885,Тестирование
887,Тестирование
888,Тестирование
889,Тестирование|Конфликты и проблемы
890,Тестирование|Конфликты и проблемы
891,Тестирование
892,Тестирование
893,Тестирование
894,Общие вопросы
895,Общие вопросы
896,Общие вопросы
897,Общие вопросы
898,Общие вопросы
899,Общие вопросы
900,Общие вопросы
901,Общие вопросы
902,Общие вопросы
903,Общие вопросы
904,Общие вопросы
905,Общие вопросы
906,Архитектура
907,Архитектура
908,Архитектура
909,Управление командой|Архитектура
910,Архитектура
912,Архитектура
913,Архитектура
914,Архитектура
915,Архитектура|Конфликты и проблемы
916,Найм и HR|Архитектура|Конфликты и проблемы
917,Архитектура
918,Архитектура|Конфликты и проблемы
919,Архитектура
920,Архитектура
921,Архитектура
922,Архитектура
923,Архитектура
925,AI/ML
926,AI/ML
928,AI/ML
930,AI/ML
932,AI/ML
931,AI/ML|Конфликты и проблемы
933,AI/ML|Конфликты и проблемы
934,Управление командой|AI/ML
935,AI/ML
936,AI/ML
937,AI/ML|Конфликты и проблемы
939,Общие вопросы
940,Общие вопросы
941,Общие вопросы
942,Общие вопросы
943,Общие вопросы
944,Найм и HR|Архитектура
945,Найм и HR|Архитектура
946,Найм и HR|Архитектура
947,Найм и HR|Архитектура
949,Найм и HR|Архитектура
950,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы|Технический рост
951,Управление командой|Найм и HR|Архитектура|Тестирование
952,Управление командой|Найм и HR|Архитектура|Тестирование
953,Управление командой|Найм и HR|Архитектура|Тестирование
954,Управление командой|Найм и HR|Архитектура|Тестирование
955,Управление командой|Найм и HR|Архитектура|Тестирование
956,Архитектура|Тестирование
957,Управление командой|Тестирование
958,Тестирование
959,Тестирование
960,Управление командой|Тестирование
961,Управление командой|Тестирование
962,Тестирование
963,Тестирование
965,Тестирование
966,Тестирование
967,Тестирование
968,Тестирование
969,Тестирование
970,Общие вопросы
971,Общие вопросы
972,Общие вопросы
973,AI/ML
974,Найм и HR
975,Найм и HR
976,Общие вопросы
977,Общие вопросы
978,Найм и HR
979,Найм и HR
980,Найм и HR
981,Общие вопросы
982,Найм и HR
983,Найм и HR
984,Найм и HR
985,Общие вопросы
986,Общие вопросы
987,Общие вопросы
988,Общие вопросы
989,Общие вопросы
990,Общие вопросы
991,Общие вопросы
992,Общие вопросы
993,Общие вопросы
994,Общие вопросы
995,Общие вопросы
996,Общие вопросы
998,Общие вопросы
999,Удаленка и офис
1000,Тестирование
1001,Тестирование
1002,Тестирование|Удаленка и офис
1003,Архитектура|Тестирование
1004,Тестирование
1005,Управление командой|Процессы разработки|Тестирование
1006,Тестирование
1007,Управление командой|Процессы разработки|Тестирование
1008,Тестирование
1009,Управление командой|Процессы разработки|Тестирование
1010,Тестирование
1011,Тестирование|Метрики и KPI
1012,Тестирование
1013,Тестирование
1014,Тестирование
1015,Метрики и KPI
1016,Тестирование
1017,Общие вопросы
1020,Управление командой
1021,Общие вопросы
1022,Управление командой
